anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:116, time: 466.083305(s), NDCG (@2: 0.1174, @5: 0.1512, @10: 0.1736), Recall (@2: 0.1354, @5: 0.2107, @10: 0.2805)
Test epoch:116, time: 466.083305(s), NDCG (@2: 0.1239, @5: 0.1595, @10: 0.1828), Recall (@2: 0.1391, @5: 0.2193, @10: 0.2919)

Valid epoch:118, time: 474.196766(s), NDCG (@2: 0.1183, @5: 0.1522, @10: 0.1748), Recall (@2: 0.1373, @5: 0.2128, @10: 0.2827)
Test epoch:118, time: 474.196766(s), NDCG (@2: 0.1252, @5: 0.1574, @10: 0.1806), Recall (@2: 0.1432, @5: 0.2150, @10: 0.2872)

Valid epoch:120, time: 482.472772(s), NDCG (@2: 0.1110, @5: 0.1451, @10: 0.1669), Recall (@2: 0.1296, @5: 0.2061, @10: 0.2738)
Test epoch:120, time: 482.472772(s), NDCG (@2: 0.1194, @5: 0.1537, @10: 0.1737), Recall (@2: 0.1352, @5: 0.2117, @10: 0.2736)

Valid epoch:122, time: 490.514035(s), NDCG (@2: 0.1134, @5: 0.1491, @10: 0.1712), Recall (@2: 0.1294, @5: 0.2087, @10: 0.2768)
Test epoch:122, time: 490.514035(s), NDCG (@2: 0.1241, @5: 0.1587, @10: 0.1808), Recall (@2: 0.1406, @5: 0.2173, @10: 0.2859)

Valid epoch:124, time: 498.603820(s), NDCG (@2: 0.1104, @5: 0.1429, @10: 0.1655), Recall (@2: 0.1279, @5: 0.2003, @10: 0.2697)
Test epoch:124, time: 498.603820(s), NDCG (@2: 0.1220, @5: 0.1526, @10: 0.1730), Recall (@2: 0.1391, @5: 0.2076, @10: 0.2706)

Valid epoch:126, time: 506.578426(s), NDCG (@2: 0.1135, @5: 0.1488, @10: 0.1717), Recall (@2: 0.1304, @5: 0.2094, @10: 0.2803)
Test epoch:126, time: 506.578426(s), NDCG (@2: 0.1258, @5: 0.1606, @10: 0.1830), Recall (@2: 0.1419, @5: 0.2188, @10: 0.2881)

Valid epoch:128, time: 515.070242(s), NDCG (@2: 0.1141, @5: 0.1482, @10: 0.1713), Recall (@2: 0.1335, @5: 0.2100, @10: 0.2814)
Test epoch:128, time: 515.070242(s), NDCG (@2: 0.1240, @5: 0.1604, @10: 0.1831), Recall (@2: 0.1404, @5: 0.2216, @10: 0.2919)

Valid epoch:130, time: 523.340095(s), NDCG (@2: 0.1113, @5: 0.1454, @10: 0.1699), Recall (@2: 0.1289, @5: 0.2050, @10: 0.2805)
Test epoch:130, time: 523.340095(s), NDCG (@2: 0.1241, @5: 0.1574, @10: 0.1798), Recall (@2: 0.1425, @5: 0.2169, @10: 0.2863)

Valid epoch:132, time: 531.219630(s), NDCG (@2: 0.1123, @5: 0.1489, @10: 0.1716), Recall (@2: 0.1289, @5: 0.2109, @10: 0.2805)
Test epoch:132, time: 531.219630(s), NDCG (@2: 0.1286, @5: 0.1632, @10: 0.1862), Recall (@2: 0.1458, @5: 0.2232, @10: 0.2943)

Valid epoch:134, time: 539.355271(s), NDCG (@2: 0.1112, @5: 0.1462, @10: 0.1702), Recall (@2: 0.1292, @5: 0.2068, @10: 0.2812)
Test epoch:134, time: 539.355271(s), NDCG (@2: 0.1224, @5: 0.1562, @10: 0.1799), Recall (@2: 0.1406, @5: 0.2158, @10: 0.2887)

Valid epoch:136, time: 547.601426(s), NDCG (@2: 0.1142, @5: 0.1490, @10: 0.1728), Recall (@2: 0.1324, @5: 0.2104, @10: 0.2840)
Test epoch:136, time: 547.601426(s), NDCG (@2: 0.1252, @5: 0.1585, @10: 0.1807), Recall (@2: 0.1421, @5: 0.2165, @10: 0.2853)

Valid epoch:138, time: 555.448062(s), NDCG (@2: 0.1115, @5: 0.1496, @10: 0.1725), Recall (@2: 0.1287, @5: 0.2139, @10: 0.2846)
Test epoch:138, time: 555.448062(s), NDCG (@2: 0.1257, @5: 0.1599, @10: 0.1832), Recall (@2: 0.1434, @5: 0.2195, @10: 0.2915)

